"filename", "language", "Markdown", "JavaScript", "SQL", "CSS", "JavaScript JSX", "JSON", "HTML", "comment", "blank", "total"
"d:\MY DOCS\FULLSTACK\solo projects\farmers-APP\Urban-agricolture-\BackEnd\DataBase-Mysql\config.js", "JavaScript", 0, 9, 0, 0, 0, 0, 0, 1, 1, 11
"d:\MY DOCS\FULLSTACK\solo projects\farmers-APP\Urban-agricolture-\BackEnd\DataBase-Mysql\index.js", "JavaScript", 0, 20, 0, 0, 0, 0, 0, 5, 7, 32
"d:\MY DOCS\FULLSTACK\solo projects\farmers-APP\Urban-agricolture-\BackEnd\DataBase-Mysql\index2.js", "JavaScript", 0, 15, 0, 0, 0, 0, 0, 2, 3, 20
"d:\MY DOCS\FULLSTACK\solo projects\farmers-APP\Urban-agricolture-\BackEnd\controllers\farmingequipmentController.js", "JavaScript", 0, 51, 0, 0, 0, 0, 0, 0, 6, 57
"d:\MY DOCS\FULLSTACK\solo projects\farmers-APP\Urban-agricolture-\BackEnd\controllers\plants.js", "JavaScript", 0, 65, 0, 0, 0, 0, 0, 0, 15, 80
"d:\MY DOCS\FULLSTACK\solo projects\farmers-APP\Urban-agricolture-\BackEnd\controllers\userController.js", "JavaScript", 0, 67, 0, 0, 0, 0, 0, 11, 14, 92
"d:\MY DOCS\FULLSTACK\solo projects\farmers-APP\Urban-agricolture-\BackEnd\model\farmingequipmentModel.js", "JavaScript", 0, 20, 0, 0, 0, 0, 0, 5, 6, 31
"d:\MY DOCS\FULLSTACK\solo projects\farmers-APP\Urban-agricolture-\BackEnd\model\plants.js", "JavaScript", 0, 56, 0, 0, 0, 0, 0, 0, 11, 67
"d:\MY DOCS\FULLSTACK\solo projects\farmers-APP\Urban-agricolture-\BackEnd\model\userModel.js", "JavaScript", 0, 27, 0, 0, 0, 0, 0, 7, 7, 41
"d:\MY DOCS\FULLSTACK\solo projects\farmers-APP\Urban-agricolture-\BackEnd\package-lock.json", "JSON", 0, 0, 0, 0, 0, 1519, 0, 0, 1, 1520
"d:\MY DOCS\FULLSTACK\solo projects\farmers-APP\Urban-agricolture-\BackEnd\package.json", "JSON", 0, 0, 0, 0, 0, 22, 0, 0, 1, 23
"d:\MY DOCS\FULLSTACK\solo projects\farmers-APP\Urban-agricolture-\BackEnd\routes\farmingequipmentRoutes.js", "JavaScript", 0, 9, 0, 0, 0, 0, 0, 0, 4, 13
"d:\MY DOCS\FULLSTACK\solo projects\farmers-APP\Urban-agricolture-\BackEnd\routes\plants.js", "JavaScript", 0, 8, 0, 0, 0, 0, 0, 1, 1, 10
"d:\MY DOCS\FULLSTACK\solo projects\farmers-APP\Urban-agricolture-\BackEnd\routes\userRoutes.js", "JavaScript", 0, 20, 0, 0, 0, 0, 0, 6, 8, 34
